sample_code,site,year,all_alpha,all_beta,all_gamma,bact_alpha,bact_beta,bact_gamma,phyto_alpha,phyto_beta,phyto_gamma,zoo_alpha,zoo_beta,zoo_gamma,macro_alpha,macro_beta,macro_gamma,temp,ph,cond,chla,turb,do_mean,nh4,no,nitrogen,phosphorus,anchored_emergent,anchored_submerged_floating_leaves,free_floating,free_floating_submerged,mean_temp_12M,sd_temp_12M,deltaTemp,est_mean_temp_12M,pca1,pca2,x,y,local_x,local_y,Tmean_est_mean,TP_mean,TN_mean
PN_16_01,MD,2016,169,2.0954827510540066,743,89,1.421036091706273,331,17,2.8496981298606703,114,15,1.8375592617612786,39,11,1.4243007152840563,78,2.8791984572980396,10.8,4.676560182074764,3.9863880873834527,0.006975613736425138,6.905753276311464,0.2199384203652614,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43421875835536,2.0584593644714086,0.7267572218120648,2.4947204556009765,1.2150310441866923,-2.099452925928171,38.10537,-1.033687,0,3,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_03,MD,2016,166,2.0954827510540066,743,97,1.421036091706273,331,15,2.8496981298606703,114,9,1.8375592617612786,39,13,1.4243007152840563,78,2.8390784635086144,11,4.882801922586371,4.03512520256213,0.007968169649176881,6.829793737512425,0.0620353909194527,0.014888612493750559,0.07045846364856137,0.17981842657583616,4.057092555020159,1.5264337522473748,0,0,2.43421875835536,2.0584593644714086,0.7050003418569659,2.4557422254078998,2.1236597230730943,-1.7383622076763465,38.10537,-1.033687,3,0,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_05,MD,2016,147,2.0954827510540066,743,90,1.421036091706273,331,11,2.8496981298606703,114,16,1.8375592617612786,39,11,1.4243007152840563,78,2.8213788864092133,11.3,4.590056548178043,5.155831718251282,0.01291622526654623,7.195187320178709,0,0.04879016416943205,0.010939940038334263,0.142367241286922,2.4657656011875906,0,0,0,2.43421875835536,2.0584593644714086,0.6955290792644792,2.4385606721256536,1.9991232765531746,-2.1707121609637254,38.10537,-1.033687,3,3,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_07,MD,2016,226,2.0954827510540066,743,123,1.421036091706273,331,30,2.8496981298606703,114,13,1.8375592617612786,39,16,1.4243007152840563,78,2.803360380906535,10.9,4.74493212836325,3.7711504465467307,0.002995508979798371,6.9440872082295275,0.22314355131420976,0.017839918128331016,0.20048886074940356,0.11332868530700327,7.236711960552251,0,0,0,2.43421875835536,2.0584593644714086,0.6859672534251371,2.421078744656704,2.3551809118712126,-1.9662116653597752,38.10537,-1.033687,3,6,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_09,MD,2016,226,2.0954827510540066,743,154,1.421036091706273,331,17,2.8496981298606703,114,11,1.8375592617612786,39,17,1.4243007152840563,78,2.8154087194227095,10.7,4.694096395182493,3.5865698352893665,0.004987541511038968,6.785587645007929,0.4265740713183996,0.003992021269537457,0.3708736633385454,0.1672079189839064,2.7982137159266447,0,0,0,2.43421875835536,2.0584593644714086,0.6923519518898068,2.4327672542543985,1.5638951532759429,-2.2503220253347416,38.10537,-1.033687,3,12,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_11,MD,2016,168,2.0954827510540066,743,107,1.421036091706273,331,16,2.8496981298606703,114,11,1.8375592617612786,39,12,1.4243007152840563,78,2.833213344056216,10.7,4.73707525686803,3.3368366225017656,0.002995508979798371,6.9584483932976555,0.02078253918252841,0.01980262729617973,0.03729578474369693,0.14149956227369942,5.842944463196617,0,0,0,2.43421875835536,2.0584593644714086,0.7018532110139472,2.450047778736081,2.6412709662104095,-1.3225793672993238,38.10537,-1.033687,6,0,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_13,MD,2016,156,2.0954827510540066,743,93,1.421036091706273,331,14,2.8496981298606703,114,13,1.8375592617612786,39,13,1.4243007152840563,78,2.8390784635086144,10.8,4.560172820057356,4.455044727410454,0.004987541511038968,4.6443908991413725,0.3701832939635246,0.025667746748577813,0.3228078744271551,0.10705907229340778,3.5972211497209896,0,0,0,2.43421875835536,2.0584593644714086,0.7050003418569659,2.4557422254078998,1.673350078822831,-2.1075176587425433,38.10537,-1.033687,6,6,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_16,MD,2016,174,2.0954827510540066,743,113,1.421036091706273,331,11,2.8496981298606703,114,15,1.8375592617612786,39,11,1.4243007152840563,78,2.8213788864092133,10.9,4.684905154006945,4.7722934990241495,0.011928570865273812,7.27655640271871,0.27079020478156274,0.024692612590371414,0.23980399220731693,0.3162695293036934,0,0,0,0,2.43421875835536,2.0584593644714086,0.6955290792644792,2.4385606721256536,1.0883599279354474,-2.665011749692171,38.10537,-1.033687,6,9,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_19,MD,2016,139,2.0954827510540066,743,72,1.421036091706273,331,14,2.8496981298606703,114,11,1.8375592617612786,39,14,1.4243007152840563,78,2.8213788864092133,10.3,5.004617221770693,5.1715629582025375,0.009950330853168092,6.951772164398911,0.19721016928770527,0.024692612590371414,0.17898265552843995,0.04114194333117521,3.9522145690739006,0,0,0,2.43421875835536,2.0584593644714086,0.6955290792644792,2.4385606721256536,1.8047849987172253,-1.9693681766205011,38.10537,-1.033687,6,12,2.4380119090731704,0.11979150246449992,0.1570313492961849
PN_16_20,MD,2016,149,2.0954827510540066,743,90,1.421036091706273,331,10,2.8496981298606703,114,9,1.8375592617612786,39,10,1.4243007152840563,78,2.803360380906535,10.3,4.818667360250496,3.4121373217004898,0.001998002662673058,6.727431724850855,0,0.04879016416943205,0.010939940038334263,0.03825871211709027,4.080441152620633,0,0,0,2.43421875835536,2.0584593644714086,0.6859672534251371,2.421078744656704,2.77668061470905,-1.036300543478195,38.10537,-1.033687,9,0,2.4380119090731704,0.11979150246449992,0.1570313492961849
