taxa;domain;kingdom;phylum;class;order;family;genus;species;source;group;id_level
Cellvibrio;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;NA;eDNA;bacteria;genus
Cereibacter;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Cereibacter;NA;eDNA;bacteria;genus
Chitinibacter;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chitinibacteraceae;Chitinibacter;NA;eDNA;bacteria;genus
Chitinimonas;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chitinimonadaceae;Chitinimonas;NA;eDNA;bacteria;genus
Chlorobium;Bacteria;Bacteria;Bacteroidetes;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;NA;eDNA;bacteria;genus
Chromobacterium;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Chromobacterium;NA;eDNA;bacteria;genus
Chryseobacterium;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;NA;eDNA;bacteria;genus
Chryseolinea;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;Chryseolinea;NA;eDNA;bacteria;genus
Chthonomonas;Bacteria;Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae;Chthonomonas;NA;eDNA;bacteria;genus
CL500-3;Bacteria;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;CL500-3;NA;eDNA;bacteria;genus
Cloacibacterium;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium;NA;eDNA;bacteria;genus
Conexibacter;Bacteria;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;NA;eDNA;bacteria;genus
Confluentibacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Confluentibacter;NA;eDNA;bacteria;genus
Crenobacter;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Crenobacter;NA;eDNA;bacteria;genus
Crenothrix;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae;Crenothrix;NA;eDNA;bacteria;genus
Crocinitomix;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Crocinitomix;NA;eDNA;bacteria;genus
Cryomorpha;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;Cryomorpha;NA;eDNA;bacteria;genus
Curvibacter;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Curvibacter;NA;eDNA;bacteria;genus
Cuspidothrix LMECYA 163;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Cuspidothrix LMECYA 163;NA;eDNA;bacteria;genus
Cyanobacterium PCC-10605;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Cyanobacterium PCC-10605;NA;eDNA;bacteria;genus
Cyanobacterium PCC-7202;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Cyanobacterium PCC-7202;NA;eDNA;bacteria;genus
Cyanobium PCC-6307;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;NA;eDNA;bacteria;genus
Cyanothece PCC-7424;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Microcystaceae;Cyanothece PCC-7424;NA;eDNA;bacteria;genus
Cylindrospermum PCC-7417;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Cylindrospermum PCC-7417;NA;eDNA;bacteria;genus
Cytophaga;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cytophagaceae;Cytophaga;NA;eDNA;bacteria;genus
Deefgea;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chitinibacteraceae;Deefgea;NA;eDNA;bacteria;genus
Defluviicoccus;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodopirillaceae;Defluviicoccus;NA;eDNA;bacteria;genus
Defluviimonas;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Defluviimonas;NA;eDNA;bacteria;genus
Defluviitaleaceae UCG-011;Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitaleaceae UCG-011;NA;eDNA;bacteria;genus
Dehalobacter;Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Dehalobacter;NA;eDNA;bacteria;genus
Desulfobulbus;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;NA;eDNA;bacteria;genus
Desulfomonile;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;NA;eDNA;bacteria;genus
Desulfovibrio;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;NA;eDNA;bacteria;genus
Desulfuromonas;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;NA;eDNA;bacteria;genus
Devosia;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Devosia;NA;eDNA;bacteria;genus
Dinghuibacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Dinghuibacter;NA;eDNA;bacteria;genus
Domibacillus;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Domibacillus;NA;eDNA;bacteria;genus
Dongia;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Dongiales;Dongiaceae;Dongia;NA;eDNA;bacteria;genus
DSSD61;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;DSSD61;NA;eDNA;bacteria;genus
Duganella;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Duganella;NA;eDNA;bacteria;genus
Dyadobacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter;NA;eDNA;bacteria;genus
Ellin6067;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;Ellin6067;NA;eDNA;bacteria;genus
Elstera;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;Elsteraceae;Elstera;NA;eDNA;bacteria;genus
Emticicia;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Emticicia;NA;eDNA;bacteria;genus
Enterococcus;Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA;eDNA;bacteria;genus
Ethanoligenens;Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens;NA;eDNA;bacteria;genus
Exiguobacterium;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Family XII;Exiguobacterium;NA;eDNA;bacteria;genus
Ferribacterium;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Ferribacterium;NA;eDNA;bacteria;genus
Ferruginibacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;NA;eDNA;bacteria;genus
Fibrella;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Fibrella;NA;eDNA;bacteria;genus
Fictibacillus;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Fictibacillus;NA;eDNA;bacteria;genus
Filomicrobium;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Filomicrobium;NA;eDNA;bacteria;genus
Fimbriiglobus;Bacteria;Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;Fimbriiglobus;NA;eDNA;bacteria;genus
Flavihumibacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavihumibacter;NA;eDNA;bacteria;genus
Flavitalea;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavitalea;NA;eDNA;bacteria;genus
Flavobacterium;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;NA;eDNA;bacteria;genus
Flectobacillus;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Flectobacillus;NA;eDNA;bacteria;genus
Flexibacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;Flexibacter;NA;eDNA;bacteria;genus
Fluviicoccus;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Fluviicoccus;NA;eDNA;bacteria;genus
Fluviicola;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;NA;eDNA;bacteria;genus
Fuerstia;Bacteria;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Rubinisphaeraceae;Fuerstia;NA;eDNA;bacteria;genus
FukuN18;Bacteria;Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;FukuN18;NA;eDNA;bacteria;genus
FukuN57;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;FukuN57;NA;eDNA;bacteria;genus
Geitlerinema LD9;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Geitlerinema LD9;NA;eDNA;bacteria;genus
Geminocystis PCC-6308;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Cyanobacteriaceae;Geminocystis PCC-6308;NA;eDNA;bacteria;genus
Gemmata;Bacteria;Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;Gemmata;NA;eDNA;bacteria;genus
Gemmatimonas;Bacteria;Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;NA;eDNA;bacteria;genus
Gemmobacter;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;NA;eDNA;bacteria;genus
Geobacter;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;NA;eDNA;bacteria;genus
Geosporobacter;Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 4;Geosporobacter;NA;eDNA;bacteria;genus
Geothrix;Bacteria;Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;NA;eDNA;bacteria;genus
Giesbergeria;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Giesbergeria;NA;eDNA;bacteria;genus
Gillisia;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gillisia;NA;eDNA;bacteria;genus
GKS98;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;GKS98;NA;eDNA;bacteria;genus
GOUTA6;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;GOUTA6;NA;eDNA;bacteria;genus
Haliscomenobacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Haliscomenobacter;NA;eDNA;bacteria;genus
Halobacillus;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;NA;eDNA;bacteria;genus
Halomonas;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;NA;eDNA;bacteria;genus
Holospora;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Holosporaceae;Holospora;NA;eDNA;bacteria;genus
Hydrogenophaga;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Hydrogenophaga;NA;eDNA;bacteria;genus
Hydrotalea;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Hydrotalea;NA;eDNA;bacteria;genus
Hymenobacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;NA;eDNA;bacteria;genus
Ideonella;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Ideonella;NA;eDNA;bacteria;genus
Idiomarina;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;NA;eDNA;bacteria;genus
Igtzschineria;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Wohlfahrtiimonadaceae;Igtzschineria;NA;eDNA;bacteria;genus
IMCC26134;Bacteria;Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Opitutaceae;IMCC26134;NA;eDNA;bacteria;genus
Inhella;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Inhella;NA;eDNA;bacteria;genus
Iodobacter;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chitinibacteraceae;Iodobacter;NA;eDNA;bacteria;genus
Jeotgalibacillus;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Jeotgalibacillus;NA;eDNA;bacteria;genus
JSC-12;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;JSC-12;NA;eDNA;bacteria;genus
Kaistia;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Kaistiaceae;Kaistia;NA;eDNA;bacteria;genus
Kamptonema PCC-6407;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Phormidiaceae;Kamptonema PCC-6407;NA;eDNA;bacteria;genus
Kineosporia;Bacteria;Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;NA;eDNA;bacteria;genus
Labrys;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Labraceae;Labrys;NA;eDNA;bacteria;genus
Lacibacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Lacibacter;NA;eDNA;bacteria;genus
Lacihabitans;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Lacihabitans;NA;eDNA;bacteria;genus
Lacunisphaera;Bacteria;Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Opitutaceae;Lacunisphaera;NA;eDNA;bacteria;genus
Lamprocystis;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Lamprocystis;NA;eDNA;bacteria;genus
Larkinella;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Larkinella;NA;eDNA;bacteria;genus
LD29;Bacteria;Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;LD29;NA;eDNA;bacteria;genus
Legionella;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;NA;eDNA;bacteria;genus
Lentimicrobium;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;NA;eDNA;bacteria;genus
Lentimonas;Bacteria;Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Lentimonas;NA;eDNA;bacteria;genus
Leptolyngbya ANT.L52.2;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya ANT.L52.2;NA;eDNA;bacteria;genus
Leptolyngbya ANT.L67.1;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya ANT.L67.1;NA;eDNA;bacteria;genus
Leptospira;Bacteria;Bacteria;Spirochaetes;Leptospirae;Leptospirales;Leptospiraceae;Leptospira;NA;eDNA;bacteria;genus
Leptothrix;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Leptothrix;NA;eDNA;bacteria;genus
Leucobacter;Bacteria;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter;NA;eDNA;bacteria;genus
Lewinella;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella;NA;eDNA;bacteria;genus
Limnobacter;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Limnobacter;NA;eDNA;bacteria;genus
Limnohabitans;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Limnohabitans;NA;eDNA;bacteria;genus
Loktanella;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;NA;eDNA;bacteria;genus
Luteolibacter;Bacteria;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;NA;eDNA;bacteria;genus
Lysobacter;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;NA;eDNA;bacteria;genus
Lyticum;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Midichloriaceae;Lyticum;NA;eDNA;bacteria;genus
Macellibacteroides;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Macellibacteroides;NA;eDNA;bacteria;genus
Magnetospirillum;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospirillaceae;Magnetospirillum;NA;eDNA;bacteria;genus
Malikia;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Malikia;NA;eDNA;bacteria;genus
Meganema;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria Incertae Sedis;Alphaproteobacteria Incertae Sedis;Meganema;NA;eDNA;bacteria;genus
Mesorhizobium;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;NA;eDNA;bacteria;genus
Methylibium;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Methylibium;NA;eDNA;bacteria;genus
Methylobacter;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae;Methylobacter;NA;eDNA;bacteria;genus
Methylobacterium;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium;NA;eDNA;bacteria;genus
Methylocystis;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocystis;NA;eDNA;bacteria;genus
Methylomonas;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae;Methylomonas;NA;eDNA;bacteria;genus
Methyloparacoccus;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloparacoccus;NA;eDNA;bacteria;genus
Methylophaga;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;Methylophaga;NA;eDNA;bacteria;genus
Methylophilus;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;Methylophilus;NA;eDNA;bacteria;genus
Methylotenera;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;Methylotenera;NA;eDNA;bacteria;genus
Methyloversatilis;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Methyloversatilis;NA;eDNA;bacteria;genus
Microcystis PCC-7914;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Microcystaceae;Microcystis PCC-7914;NA;eDNA;bacteria;genus
Micromonospora;Bacteria;Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;NA;eDNA;bacteria;genus
mle1-7;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;mle1-7;NA;eDNA;bacteria;genus
MND1;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;MND1;NA;eDNA;bacteria;genus
MSBL3;Bacteria;Bacteria;Kiritimatiellaeota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;MSBL3;NA;eDNA;bacteria;genus
Mucilaginibacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;NA;eDNA;bacteria;genus
MWH-UniP1;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;MWH-UniP1;NA;eDNA;bacteria;genus
Mycobacterium;Bacteria;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;NA;eDNA;bacteria;genus
Nevskia;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Nevskia;NA;eDNA;bacteria;genus
Niabella;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Niabella;NA;eDNA;bacteria;genus
Nocardioides;Bacteria;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;NA;eDNA;bacteria;genus
Nodosilinea PCC-7104;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea PCC-7104;NA;eDNA;bacteria;genus
Nodularia PCC-9350;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia PCC-9350;NA;eDNA;bacteria;genus
Nordella;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Nordella;NA;eDNA;bacteria;genus
Nostoc PCC-73102;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc PCC-73102;NA;eDNA;bacteria;genus
Nostoc PCC-7524;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc PCC-7524;NA;eDNA;bacteria;genus
Nostoc PCC-8976;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc PCC-8976;NA;eDNA;bacteria;genus
Novosphingobium;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;NA;eDNA;bacteria;genus
oc32;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;oc32;NA;eDNA;bacteria;genus
OM27 clade;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;NA;eDNA;bacteria;genus
OM60(NOR5) clade;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;OM60(NOR5) clade;NA;eDNA;bacteria;genus
Oscillochloris;Bacteria;Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Oscillochloris;NA;eDNA;bacteria;genus
Paenibacillus;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;eDNA;bacteria;genus
Paenisporosarci;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Paenisporosarci;NA;eDNA;bacteria;genus
Paludibacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;NA;eDNA;bacteria;genus
Paludibaculum;Bacteria;Bacteria;Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae (Subgroup 3);Paludibaculum;NA;eDNA;bacteria;genus
Paludisphaera;Bacteria;Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales;Isosphaeraceae;Paludisphaera;NA;eDNA;bacteria;genus
Paracoccus;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;NA;eDNA;bacteria;genus
Pasteuria;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Pasteuriaceae;Pasteuria;NA;eDNA;bacteria;genus
Pedobacter;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;NA;eDNA;bacteria;genus
Pedomicrobium;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;NA;eDNA;bacteria;genus
Pelagibacterium;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Pelagibacterium;NA;eDNA;bacteria;genus
Pelobacter;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;NA;eDNA;bacteria;genus
Peredibacter;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;NA;eDNA;bacteria;genus
Perlucidibaca;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Perlucidibaca;NA;eDNA;bacteria;genus
Phaeospirillum;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospirillaceae;Phaeospirillum;NA;eDNA;bacteria;genus
Phenylobacterium;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;NA;eDNA;bacteria;genus
Phormidesmis ANT.LACV5.1;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidesmis ANT.LACV5.1;NA;eDNA;bacteria;genus
Phormidium MBIC10003;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium MBIC10003;NA;eDNA;bacteria;genus
Phormidium SAG 37.90;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium SAG 37.90;NA;eDNA;bacteria;genus
Phreatobacter;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Phreatobacter;NA;eDNA;bacteria;genus
Planctomicrobium;Bacteria;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;NA;eDNA;bacteria;genus
