"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1",0.706114568475163,0.700177489050419,30.6375695497305,118.93298336759,4.72948508396964e-27,2,-492.276385197786,992.552770395572,1003.05266164871,92927.4061235429,99,102
"2",0.267924148589682,0.253134737450079,57.0502981654391,18.11594431047,1.97481320252702e-07,2,-555.690426139857,1119.38085227971,1129.88074353285,322218.915555785,99,102
"3",0.625077535624953,0.617503344425457,49.1033629643951,82.5272981842016,8.13022225705182e-22,2,-540.389836775599,1088.7796735512,1099.27956480434,238702.885186899,99,102
"4",0.887092931879886,0.884811981008772,16.9988229050171,388.913651369817,1.28734793861701e-47,2,-432.189927545559,872.379855091117,882.879746344254,28607.0380354571,99,102
"5",0.866896473299462,0.864207513164098,20.6186422142998,322.390972591337,4.44000390053998e-44,2,-451.881183365454,911.762366730908,922.262257984045,42087.7122693691,99,102
"6",0.87987545239772,0.8774486938603,23.1097773047888,362.572311513624,2.76549178180978e-46,2,-463.515319634704,935.030639269408,945.530530522545,52872.118900616,99,102
"7",0.875857573209526,0.873349645395577,28.2553454156412,349.235559467881,1.40945569932492e-45,2,-484.020060376706,976.040120753413,986.54001200655,79038.0899111623,99,102
"8",0.0841624461704882,0.0656606774062557,48.4136145534294,4.54888650068907,0.0128828860101745,2,-538.946898058782,1085.89379611756,1096.3936873707,232043.929338675,99,102
"9",0.264454031512019,0.249594516997111,31.4165700629274,17.7969496410324,2.49566370807354e-07,2,-494.837446465233,997.674892930466,1008.1747841836,97713.0865773635,99,102
"10",0.135881092987758,0.118424145371349,44.0922655938274,7.78378305151323,0.00072508451199412,2,-529.410236404807,1066.82047280961,1077.32036406275,192468.660634465,99,102
"11",0.34119769016878,0.327888552596433,45.0777017729759,25.636348584876,1.06752511837883e-09,2,-531.664775359167,1071.32955071833,1081.82944197147,201167.920516202,99,102
"12",0.420577783332543,0.408872284005928,18.5577853614449,35.9299310176591,1.85463986650128e-12,2,-441.13994776437,890.27989552874,900.779786781878,34094.7483546244,99,102
"13",0.959034165912203,0.958206573304369,7.41420790131221,1158.82398759203,2.06480568645819e-69,2,-347.555840163893,703.111680327787,713.611571580924,5442.07740158416,99,102
"14",0.878031704938512,0.875567698977673,16.5652935935546,356.343174039986,5.87792684064773e-46,2,-429.55482471717,867.10964943434,877.609540687477,27166.4862322256,99,102
"15",0.591464489081973,0.583211246437165,35.4976101629595,71.6644977661006,5.70001130217223e-20,2,-507.294697502174,1022.58939500435,1033.08928625748,124747.952400863,99,102
"16",0.297828577686874,0.283643296428023,20.4291431133013,20.9956060970621,2.50573957084262e-08,2,-450.939400735026,909.878801470052,920.378692723189,41317.6389460307,99,102
"17",0.618766309142639,0.611064618418248,13.1522745927924,80.341619948853,1.85766777245076e-21,2,-406.021890349408,820.043780698817,830.543671951954,17125.2503694571,99,102
"18",0.892609257306787,0.890439747353389,5.52083563673001,411.433584763525,1.07859616361796e-48,2,-317.479210960564,642.958421921128,653.458313174265,3017.48298665101,99,102
"19",0.322638767839467,0.308954702543295,21.7813609344566,23.577698648494,4.22285987030857e-09,2,-457.476798574864,922.953597149729,933.453488402866,46968.34073155,99,102
"20",0.482352785595441,0.471895266112521,18.0653163172724,46.1249712595073,6.99321892842443e-15,2,-438.396604454811,884.793208909622,895.293100162759,32309.2097106678,99,102
"21",0.0751061369574768,0.0564214124515673,20.4857175032779,4.0196545008583,0.0209676104773432,2,-451.221478755988,910.442957511975,920.942848765112,41546.7975407865,99,102
"22",0.221929076883283,0.206210472375875,14.860416703723,14.1188791141532,4.03134251204304e-06,2,-418.476739514955,844.95347902991,855.453370283047,21862.3664762206,99,102
"23",0.432845083667496,0.421387408590072,19.9308441803291,37.7777411859369,6.43034395030387e-13,2,-448.420615306887,904.841230613774,915.341121866911,39326.6164243152,99,102
"24",0.0332873252347892,0.0137577762496336,24.6875126803308,1.70445949673956,0.187163833247785,2,-470.251580008319,948.503160016638,959.003051269775,60337.854951808,99,102
"25",0.744964690399468,0.73981246192269,3.69600675387759,144.590771499574,4.23365509083396e-30,2,-276.549033341054,561.098066682108,571.597957935245,1352.38612654617,99,102
"26",0.287887709069238,0.273501602181748,5.78837135479096,20.0115091122797,5.02515940969964e-08,2,-322.306027812814,652.612055625629,663.111946878766,3317.01905115549,99,102
"27",0.777074736578931,0.772571195903758,4.76647005876251,172.547511530816,5.41857115550961e-33,2,-302.493041402274,612.986082804548,623.485974057685,2249.20444528687,99,102
"28",0.916566684333033,0.914881162804407,1.81065729316847,543.788179959004,4.03929335446772e-54,2,-203.765601591084,415.531203182169,426.031094435306,324.569503497113,99,102
"29",0.876088238330228,0.873584970417708,2.57625510622611,349.977816576597,1.28549474745119e-45,2,-239.735586462645,487.47117292529,497.971064178427,657.071946863255,99,102
"30",0.87534368811031,0.872825378779205,2.42180561402917,347.591805859002,1.7292450599612e-45,2,-233.429594378957,474.859188757914,485.359080011051,580.649100782175,99,102
"31",0.731994117982981,0.726579857740213,5.22624046133588,135.197438830304,4.93337495010998e-29,2,-311.885831477523,631.771662955045,642.271554208182,2704.04534661072,99,102
"32",0.304149538869909,0.290091953796574,5.22907013082246,21.6359735532975,1.60154080766636e-08,2,-311.941042901829,631.882085803658,642.381977056795,2706.97426887291,99,102
"33",0.88169780700394,0.87930786371109,2.37421619639654,368.91996962515,1.29760756412934e-46,2,-231.405300031867,470.810600063733,481.310491316871,558.053352175932,99,102
"34",0.187662986028729,0.171252137261633,5.71324585483197,11.4353004340026,3.40364290953765e-05,2,-320.973535201901,649.947070403802,660.446961656939,3231.47664157772,99,102
"35",0.848414490072278,0.845352156538384,3.41042489379084,277.048362199013,2.77048374938e-41,2,-268.346591619669,544.693183239339,555.193074492476,1151.46879766263,99,102
"36",0.678917835419988,0.672431327044634,7.89147294772515,104.666146427809,3.78008020574136e-25,2,-353.91907515429,715.838150308579,726.338041561716,6165.25918318311,99,102
"37",0.572578726753922,0.563943953557032,4.51286074468323,66.310800955388,5.33800059827064e-19,2,-296.916218182391,601.832436364781,612.332327617918,2016.22529798939,99,102
"38",0.854153405314374,0.851207009462139,2.42082245323674,289.897708302327,4.10078049924193e-42,2,-233.388177858501,474.776355717002,485.276246970139,580.177753659421,99,102
"39",0.763034366647353,0.758247182135179,4.26405038775131,159.391050147914,1.11410366625185e-31,2,-291.131618654717,590.263237309434,600.763128562571,1800.03044521893,99,102
"40",0.208930761818057,0.192949565087109,12.3867459211309,13.0735366903689,9.15414077261983e-06,2,-399.905185676102,807.810371352205,818.310262605342,15189.7159769506,99,102
"41",0.188253213120559,0.171854288133096,21.4854399344939,11.4796069415814,3.28336090705938e-05,2,-456.081529590252,920.163059180503,930.66295043364,45700.7887886958,99,102
"42",0.0186897868467802,-0.00113466190378975,28.3637406818478,0.942764516780964,0.393018309855188,2,-484.410611741024,976.821223482047,987.321114735184,79645.6767612435,99,102
"43",0.164402764710476,0.147522012482405,36.519073493703,9.73906627437427,0.000137673775232551,2,-510.188367194593,1028.37673438919,1038.87662564232,132030.630155009,99,102
"44",0.0892727280847919,0.0708741973390302,36.6628952216522,4.85216614948215,0.00976613941054146,2,-510.589281119008,1029.17856223802,1039.67845349115,133072.620717351,99,102
"45",0.250447086806821,0.23530460371201,20.6459613402706,16.5393671063521,6.3491220076762e-07,2,-452.016241067024,912.032482134049,922.532373387186,42199.3162467308,99,102
"46",0.0895380374531459,0.0711448664926035,27.3206639836213,4.86800441561845,0.0096263006252712,2,-480.58884977759,969.17769955518,979.677590808317,73895.4493700881,99,102
"47",0.239435690982561,0.224070755446856,34.8408887060738,15.5832538591619,1.30686010606357e-06,2,-505.389978572988,1018.77995714598,1029.27984839911,120174.865057073,99,102
"48",0.0667424952166334,0.047888808251313,37.1136213228435,3.54002351579293,0.0327396327819494,2,-511.835602752708,1031.67120550542,1042.17109675855,136364.667881847,99,102
"49",0.0601299703382065,0.0411426970117058,21.1175271269785,3.16685652037684,0.0464361448133994,2,-454.319772515834,916.639545031669,927.139436284806,44149.0452439084,99,102
"50",0.0398165073528113,0.0204188610367066,24.2444621419555,2.05264632130929,0.133824198320305,2,-468.404428320689,944.808856641379,955.308747894516,58191.6005107187,99,102
"51",0.102060374264779,0.0839201798054814,35.3917891309068,5.62620067242276,0.00484990568502091,2,-506.990173739967,1021.98034747993,1032.48023873307,124005.29505077,99,102
"52",0.0138505343903337,-0.00607167703612421,36.0040866264803,0.695230770010771,0.501378623694964,2,-508.739739106647,1025.47947821329,1035.97936946643,128333.131126903,99,102
"53",0.207583903215934,0.191575497220297,19.390356983547,12.9671813216445,9.95835963844941e-06,2,-445.616369004711,899.232738009422,909.732629262559,37222.6084509897,99,102
"54",0.0674711325730224,0.0486321655542956,23.8927741850362,3.58146667521382,0.031498008404754,2,-466.913989209063,941.827978418126,952.327869671263,56515.6011674562,99,102
"55",0.121665942624373,0.103921820253148,35.0032855185656,6.85668978600348,0.0016261338124579,2,-505.864306028602,1019.7286120572,1030.22850331034,121297.769712328,99,102
"56",0.050328133569149,0.0311428433382228,35.3319178758764,2.62326673005036,0.0776053809852787,2,-506.817477207775,1021.63495441555,1032.13484566869,123586.09765798,99,102
"57",0.297747582190311,0.283560664658802,4.66337856194202,20.9874753644701,2.52008700357701e-08,2,-300.262729537178,608.525459074357,619.025350327494,2152.96286158606,99,102
"58",0.0862751902437442,0.0678161031779614,7.18218826818189,4.67386008507809,0.0114911409130286,2,-344.312848420314,696.625696840629,707.125588093766,5106.79900364134,99,102
"59",0.177440959707811,0.160823605358474,6.24770674216672,10.6780511492727,6.3207767446955e-05,2,-330.09510573286,668.19021146572,678.690102718857,3864.35011407544,99,102
"60",0.235241501093921,0.219791834449354,6.42075324515335,15.2263156549492,1.71574778927701e-06,2,-332.881844016193,673.763688032385,684.263579285522,4081.38115127958,99,102
"61",0.0091578525539923,-0.0108591605257249,5.53931785343249,0.457503450565844,0.634192874915853,2,-317.820108193156,643.640216386312,654.140107639449,3037.72018585424,99,102
"62",0.00237130133283998,-0.0177828137917491,7.50470358648376,0.11765841954266,0.889123789516872,2,-348.793286087271,705.586572174542,716.086463427679,5575.73701617724,99,102
