scale;predictor;year;group;AIC_linear;BIC_linear;sig_linear;AIC_quad;BIC_quad;sig_quad;delta_AIC;delta_BIC;model_decision
gamma;tsd;2016;zoo;635.49;643.36;***;613.79;624.29;***;21.7;19.07;quadratic
gamma;tsd;2016;macro;651.99;659.87;***;653.97;664.47;***;-1.98;-4.6;linear
gamma;tsd;2017;wc;1043.54;1051.42;***;1008.44;1018.94;***;35.1;32.48;quadratic
gamma;tsd;2017;bact;985.39;993.27;***;561.8;572.3;***;423.59;420.96;quadratic
gamma;tsd;2017;phyto;943.91;951.78;**;919.27;929.77;***;24.64;22.01;quadratic
gamma;tsd;2017;zoo;661.44;669.32;***;632.74;643.24;***;28.7;26.08;quadratic
gamma;tsd;2017;macro;635.45;643.33;***;637.33;647.83;***;-1.88;-4.51;linear
gamma;tsd;2018;wc;1054.37;1062.24;***;1054.77;1065.27;***;-0.4;-3.03;linear
gamma;tsd;2018;bact;908.3;916.17;***;905.77;916.27;***;2.53;-0.09;quadratic
gamma;tsd;2018;phyto;898.58;906.46;***;900.1;910.6;***;-1.52;-4.14;linear
gamma;tsd;2018;zoo;586.13;594;***;586.04;596.54;***;0.09;-2.54;linear
gamma;tsd;2018;macro;708.38;716.25;***;672.54;683.04;***;35.84;33.21;quadratic
alpha;tmean;mean;wc;939.03;946.91;ns;937.08;947.58;ns;1.95;-0.68;none
alpha;tmean;mean;bact;916.96;924.84;ns;915.89;926.39;ns;1.07;-1.56;none
alpha;tmean;mean;phyto;636.85;644.72;ns;638.27;648.77;ns;-1.42;-4.05;none
alpha;tmean;mean;zoo;521.06;528.94;ns;510.69;521.19;**;10.37;7.75;quadratic
alpha;tmean;mean;macro;465.99;473.87;ns;467.14;477.64;ns;-1.15;-3.77;none
alpha;tmean;2016;wc;955.9;963.78;**;957.13;967.63;**;-1.23;-3.85;linear
alpha;tmean;2016;bact;935.61;943.48;ns;937.59;948.09;ns;-1.98;-4.6;none
alpha;tmean;2016;phyto;698.14;706.01;ns;700.1;710.6;ns;-1.96;-4.59;none
alpha;tmean;2016;zoo;539.28;547.15;ns;537.12;547.62;ns;2.16;-0.47;none
alpha;tmean;2016;macro;527.54;535.41;ns;529.46;539.96;ns;-1.92;-4.55;none
alpha;tmean;2017;wc;1043.64;1051.52;ns;1044.08;1054.58;ns;-0.44;-3.06;none
