"model_name","model_type","scale","group","year","predictor","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","sig"
"qd_alpha_zoo_2016_tmean","qd","alpha","zoo","2016","tmean",0.04,0.02,3.29,2.07,0.13,2,-264.56,537.12,547.62,1069.1,99,102,"ns"
"qd_alpha_zoo_2016_tsd","qd","alpha","zoo","2016","tsd",0.21,0.2,2.98,13.33,0,2,-254.49,516.98,527.48,877.48,99,102,"***"
"qd_alpha_zoo_2017_tmean","qd","alpha","zoo","2017","tmean",0,-0.02,4.16,0.22,0.8,2,-288.69,585.37,595.87,1715.75,99,102,"ns"
"qd_alpha_zoo_2017_tsd","qd","alpha","zoo","2017","tsd",0.23,0.22,3.65,15.14,0,2,-275.3,558.61,569.11,1319.78,99,102,"***"
"qd_alpha_zoo_2018_tmean","qd","alpha","zoo","2018","tmean",0.23,0.22,3.67,15.12,0,2,-275.83,559.66,570.15,1333.39,99,102,"***"
"qd_alpha_zoo_2018_tsd","qd","alpha","zoo","2018","tsd",0.37,0.36,3.32,29.45,0,2,-265.62,539.24,549.74,1091.47,99,102,"***"
"qd_alpha_zoo_mean_tmean","qd","alpha","zoo","mean","tmean",0.29,0.28,2.58,20.69,0,2,-239.79,487.58,498.08,657.79,99,102,"***"
"qd_alpha_zoo_mean_tsd","qd","alpha","zoo","mean","tsd",0.4,0.39,2.38,33.12,0,2,-231.47,470.95,481.45,558.8,99,102,"***"
"qd_beta_bact_2016_tmean","qd","beta","bact","2016","tmean",0.1,0.08,1.5,5.56,0.01,2,-184.52,377.04,387.54,222.54,99,102,"**"
"qd_beta_bact_2016_tsd","qd","beta","bact","2016","tsd",0.01,-0.01,1.57,0.48,0.62,2,-189.46,386.91,397.41,245.17,99,102,"ns"
"qd_beta_bact_2017_tmean","qd","beta","bact","2017","tmean",0.36,0.35,3.91,28.19,0,2,-282.35,572.7,583.2,1515.34,99,102,"***"
"qd_beta_bact_2017_tsd","qd","beta","bact","2017","tsd",0.05,0.03,4.78,2.46,0.09,2,-302.87,613.74,624.24,2265.86,99,102,"ns"
"qd_beta_bact_2018_tmean","qd","beta","bact","2018","tmean",0.03,0.01,2.88,1.61,0.21,2,-251.03,510.06,520.56,819.99,99,102,"ns"
"qd_beta_bact_2018_tsd","qd","beta","bact","2018","tsd",0.06,0.04,2.83,3.21,0.04,2,-249.45,506.9,517.4,794.97,99,102,"*"
"qd_beta_bact_mean_tmean","qd","beta","bact","mean","tmean",0.1,0.08,1.12,5.32,0.01,2,-154.99,317.98,328.48,124.73,99,102,"**"
"qd_beta_bact_mean_tsd","qd","beta","bact","mean","tsd",0.07,0.05,1.14,3.81,0.03,2,-156.42,320.83,331.33,128.26,99,102,"*"
"qd_beta_macro_2016_tmean","qd","beta","macro","2016","tmean",0.05,0.03,2.8,2.8,0.07,2,-248.08,504.16,514.66,773.84,99,102,"ns"
"qd_beta_macro_2016_tsd","qd","beta","macro","2016","tsd",0.05,0.03,2.8,2.75,0.07,2,-248.12,504.25,514.75,774.53,99,102,"ns"
