"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1",0.44965338544074,0.438535272015301,41.3971331709089,40.4433169760509,1.45043013346164e-13,2,-522.97681566436,1053.95363132872,1064.45352258186,169658.540842227,99,102
"2",0.66153183522862,0.654694094526168,37.9546174863524,96.7471368125124,5.14200407629161e-24,2,-514.121128538388,1036.24225707678,1046.74214832991,142614.745864998,99,102
"3",0.481189485165157,0.470708464663443,53.949988218584,45.9105566186486,7.81509185591093e-15,2,-549.991091545653,1107.98218309131,1118.48207434444,288149.52164975,99,102
"4",0.508301085661023,0.498367774260235,35.0614375402379,51.1713632193922,5.484194440971e-16,2,-506.033621122236,1020.06724224447,1030.56713349761,121701.135836412,99,102
"5",0.77488329458588,0.770335482355292,26.4762198660481,170.385947197659,8.79391674068454e-33,2,-477.386419856905,962.77283971381,973.272730966948,69398.0316211365,99,102
"6",0.259163890503504,0.24419750445307,56.1522000668791,17.3163975344592,3.55832856909297e-07,2,-554.071947228365,1116.14389445673,1126.64378570987,312153.887662731,99,102
"7",0.803684548357003,0.799718579636943,33.1867108342428,202.64520602289,1.00287529545145e-35,2,-500.428480277027,1008.85696055405,1019.35685180719,109034.419823569,99,102
"8",0.300057917032162,0.285917672931802,41.8322425148733,21.2201370006417,2.14079078822892e-08,2,-524.043303476896,1056.08660695379,1066.58649820693,173243.714868494,99,102
"9",0.420467172005456,0.408759438106577,28.6525709991649,35.9136256116729,1.8722466958942e-12,2,-485.44403335342,978.88806670684,989.387957959977,81276.0126613562,99,102
"10",0.603636338547689,0.595628991851682,29.9487382949558,75.3853131960373,1.27539486529629e-20,2,-489.956923322252,987.913846644504,998.413737897641,88795.7656205156,99,102
"11",0.284293169692942,0.269834445848355,46.4475158229908,19.6623970931829,6.44748757620637e-08,2,-534.71817354878,1077.43634709756,1087.9362383507,213579.800886571,99,102
"12",0.179972371484199,0.163406156766708,20.0709248367662,10.8638198015254,5.42637752571878e-05,2,-449.134997981142,906.269995962284,916.769887215421,39881.3603565087,99,102
"13",0.551014752359713,0.541944343316475,25.2197404212496,60.7486111963702,6.10221553116425e-18,2,-472.427187132905,952.85437426581,963.354265518947,62967.495384606,99,102
"14",0.12009982532341,0.102324064218832,44.6219265452204,6.75638160396303,0.00177604307157749,2,-530.628216474998,1069.25643295,1079.75632420313,197120.516532097,99,102
"15",0.995436795139741,0.995344609182968,3.70876993410612,10798.1392175802,1.36101633261594e-116,2,-276.900656550613,561.801313101225,572.301204354362,1361.74246798882,99,102
"16",0.184011861948715,0.167527253099194,20.0214286980525,11.1626465406889,4.24962249423696e-05,2,-448.883149023993,905.766298047987,916.266189301124,39684.9031040089,99,102
"17",0.176566373761724,0.159931351009435,18.9070604585537,10.614134792057,6.66216842548671e-05,2,-443.041842263489,894.083684526978,904.583575780115,35390.2165831571,99,102
"18",0.347558438915213,0.33437780131754,13.7797446862609,26.368863899011,6.60404615522875e-10,2,-410.775602498009,829.551204996017,840.051096249154,18798.254998235,99,102
"19",0.230895491897552,0.215358027087401,22.6567441876913,14.8605641086768,2.27130350130054e-06,2,-461.495900818651,930.991801637303,941.49169289044,50819.477661462,99,102
"20",0.0322566396253939,0.0127062687087351,24.3892332375893,1.64992468751108,0.197301286266614,2,-469.011690230608,946.023380461216,956.523271714353,58888.6350938353,99,102
"21",0.433841497165946,0.422403951654147,15.6775693634892,37.9313460845591,5.89430615659296e-13,2,-423.936790024146,855.873580048293,866.37347130143,24332.8319335544,99,102
"22",0.606428995781154,0.598478066402995,10.7024180071234,76.2714604719086,8.98758887886948e-21,2,-384.99713845326,777.99427690652,788.494168159657,11339.6333687208,99,102
"23",0.308736682356329,0.294771766848376,21.4796192306733,22.108023652596,1.15439333982093e-08,2,-456.053892631063,920.107785262126,930.607676515264,45676.0301871762,99,102
"24",0.366993847607321,0.354205844528681,19.7252271132661,28.6982920906797,1.47806178593796e-10,2,-447.362864092154,902.725728184309,913.225619437446,38519.373882323,99,102
"25",0.33483525040501,0.32139757869602,4.91933716024245,24.9176537168271,1.71789522773781e-09,2,-305.712956652066,619.425913304133,629.92580455727,2395.78793151809,99,102
"26",0.198752334476688,0.182565512950965,5.17752115866192,12.2786511336298,1.72367534987347e-05,2,-310.930522161648,629.861044323296,640.360935576433,2653.8658094908,99,102
"27",0.607330893671599,0.599398184452844,4.64026045132263,76.5603373227984,8.02275138250396e-21,2,-299.75581990041,607.51163980082,618.011531053957,2131.66968855478,99,102
"28",0.285311085426987,0.270872925536623,5.25869650293781,19.7609035772907,6.00888332097422e-08,2,-312.517313922979,633.034627845958,643.534519099095,2737.73500209102,99,102
"29",0.483884256385677,0.473457675706599,4.33326780114816,46.4087193375557,6.03923315847621e-15,2,-292.774067744688,593.548135489377,604.048026742514,1858.94377381028,99,102
"30",0.315536607273877,0.30170906398648,4.78534888792891,22.8194264675695,7.07678773592998e-09,2,-302.896240644884,613.792481289767,624.292372542904,2267.05683394104,99,102
"31",0.497145433749041,0.486986755642961,5.25109879986432,48.9380043897147,1.66494046668256e-15,2,-312.369838957736,632.739677915471,643.239569168608,2729.82982198771,99,102
"32",0.549141912410533,0.540033668216807,4.17675995388583,60.2906444678723,7.49848099645678e-18,2,-289.021882428704,586.043764857409,596.543656110546,1727.08704752605,99,102
"33",0.170127614182747,0.153362515479368,6.67364752832315,10.1477251755433,9.79625366975019e-05,2,-336.822219026491,681.644438052982,692.144329306119,4409.21956189708,99,102
"34",0.619046881481976,0.611350858885652,3.98562817809546,80.4372484272183,1.79118683429483e-21,2,-284.244112684852,576.488225369705,586.988116622842,1572.63796542882,99,102
"35",0.69648042558164,0.690348717007532,4.55069486536086,113.58668096566,2.33475802878713e-26,2,-297.767783040615,603.53556608123,614.035457334367,2050.17355200455,99,102
"36",0.043054467522182,0.0237222345428323,12.3842257853627,2.22708197072586,0.113218488735172,2,-399.884431233985,807.76886246797,818.268753721107,15183.5357819814,99,102
"37",0.771799915732348,0.76718981301987,3.49957663991674,167.414906753243,1.7243766067775e-32,2,-270.978713384086,549.957426768172,560.45731802131,1212.45662920645,99,102
"38",0.172095976285083,0.15537064247266,5.8755836107282,10.2895391036835,8.70982981959145e-05,2,-323.831379361711,655.662758723421,666.162649976558,3417.72579389913,99,102
"39",0.610896803856747,0.603036133227591,5.15248531664137,77.7156088426887,5.10748981595864e-21,2,-310.436106036711,628.872212073421,639.372103326559,2628.26238888229,99,102
"40",0.735776826481523,0.730438984592261,6.50744796276901,137.841629959412,2.44095498661889e-29,2,-334.2498601243,676.4997202486,686.999611501737,4192.3410198265,99,102
"41",0.0426844410824196,0.0233447328214585,23.3090057708203,2.20708815802468,0.115405979581945,2,-464.390888831926,936.781777663852,947.281668916989,53787.6652523892,99,102
"42",0.103701778604759,0.0855947438290982,25.7440580945961,5.727154108311,0.00442996671803013,2,-474.526021647403,957.052043294806,967.551934547943,65612.896190616,99,102
"43",0.0335289061433917,0.0140042375806321,39.3853223982751,1.71725865848206,0.184862587936377,2,-517.895337597669,1043.79067519534,1054.29056644847,153569.158421191,99,102
"44",0.0380035145076668,0.0185692420734783,37.2104924342994,1.9554894394097,0.146922235549607,2,-512.101488438094,1032.20297687619,1042.70286812933,137077.453973102,99,102
"45",0.218630539881606,0.202845298263053,21.0583532723228,13.8503131700332,4.97042383344034e-06,2,-454.033555034271,916.067110068543,926.56700132168,43901.9700116527,99,102
"46",0.108792629203396,0.0907884398943742,25.6708426288541,6.04262859804957,0.00334155874600116,2,-474.235522883484,956.471045766969,966.970937020106,65240.2239662638,99,102
"47",0.198217495303923,0.182019868946427,35.8730462919006,12.2374409020853,1.78156013750528e-05,2,-508.367823077362,1024.73564615472,1035.23553740786,127400.669575824,99,102
"48",0.0403167642282202,0.0209292241116187,37.1657266940622,2.0795193194054,0.130416177118161,2,-511.978704405535,1031.95740881107,1042.45730006421,136747.832829075,99,102
"49",0.0304605752086156,0.010873920162325,21.0404679097092,1.55516984072195,0.216267344095569,2,-453.946887187281,915.893774374562,926.3936656277,43827.4276960909,99,102
"50",0.00548572798459093,-0.0146054694298616,23.4010201687837,0.273041365899115,0.761632534841007,2,-464.792750339973,937.585500679946,948.085391933083,54213.1667490424,99,102
"51",0.0392464246371506,0.0198372614985072,36.7053002611419,2.02205650788783,0.13781435657288,2,-510.707188189807,1029.41437637961,1039.91426763275,133380.627658798,99,102
"52",0.00915254318778985,-0.0108645771518505,34.9054438689319,0.457235757816011,0.634361111793944,2,-505.578795052614,1019.15759010523,1029.65748135837,120620.611157029,99,102
"53",0.0540425867129099,0.0349323359394335,20.7830101329551,2.82793707699098,0.0639209850981402,2,-452.691084170697,913.382168341393,923.88205959453,42761.4175084648,99,102
"54",0.0099276048772074,-0.0100738576505257,23.3487027825954,0.496343948020911,0.610258890648713,2,-464.56445484293,937.128909685859,947.628800938996,53971.030241368,99,102
"55",0.181285376390056,0.164745687024199,33.8835613073754,10.9606276381635,5.01257761506588e-05,2,-502.54808718437,1013.09617436874,1023.59606562188,113661.476960196,99,102
"56",0.0283997723955858,0.00877148496923408,34.5647618878601,1.44687979031008,0.240235171047771,2,-504.578370762474,1017.15674152495,1027.65663277808,118277.553672082,99,102
"57",0.0250739089000648,0.00537843231218738,5.42563229379336,1.273079571758,0.284510836800952,2,-315.704942603835,639.40988520767,649.909776460807,2914.31109295789,99,102
"58",0.0214154335985846,0.00164604841875815,7.28600956433843,1.08326249925252,0.342467152186308,2,-345.776742417452,699.553484834904,710.053376088042,5255.50760179148,99,102
"59",0.014609374973039,-0.00529750634063686,6.81305899874736,0.733885672137022,0.482633086998171,2,-338.931032837717,685.862065675435,696.361956928572,4595.35951912083,99,102
"60",0.0380515170957365,0.018618214410802,7.17955277299359,1.95805714101471,0.146559776894899,2,-344.275412776342,696.550825552683,707.05071680582,5103.0518239998,99,102
"61",0.173008433354819,0.156301533018552,4.99706560496543,10.3555075970174,8.24714251777297e-05,2,-307.312017103165,622.62403420633,633.123925459467,2472.09580137252,99,102
"62",0.103875887818496,0.0857723704006876,6.97227707651053,5.73788426973394,0.00438757016523568,2,-341.287299821832,690.574599643664,701.074490896801,4812.65211553179,99,102
"63",0.264607103977806,0.249750681835944,5.88569362978478,17.8109575408601,2.47008441712273e-07,2,-324.006738240968,656.013476481936,666.513367735073,3429.49756086522,99,102
"64",0.182223271255928,0.165702529261099,6.61970839879079,11.0299689513314,4.73609075199534e-05,2,-335.994463952931,679.988927905861,690.488819158998,4338.23338921711,99,102
"65",0.115429221915221,0.0975591051862358,2.88676827980417,6.45934347636321,0.00230814517207251,2,-251.343267948793,510.686535897586,521.186427150723,825.00967902707,99,102
"66",0.0401410339450902,0.0207499437217589,3.28618794676791,2.07007617842922,0.131603544604455,2,-264.561507114244,537.123014228487,547.622905481624,1069.10409092679,99,102
"67",0.00449344089218706,-0.0156178027261524,4.16302361314185,0.223429290473586,0.80017361689,2,-288.685876581156,585.371753162312,595.871644415449,1715.74579475409,99,102
"68",0.234017255929778,0.218542857059673,3.66995474686218,15.1228657018703,1.8571193217752e-06,2,-275.827521072633,559.655042145265,570.154933398402,1333.38821655761,99,102
"69",0.400857045464471,0.388753147393046,2.37580536533918,33.1180123212392,9.72204455800585e-12,2,-231.473550348667,470.947100697333,481.446991950471,558.80066226347,99,102
"70",0.212181850735583,0.196266332568625,2.9771565782342,13.3317588852427,7.46596739432678e-06,2,-254.488034282615,516.976068565231,527.475959818368,877.482667840991,99,102
"71",0.23423942026754,0.218769509565874,3.65118059184491,15.1416142461841,1.83064352280649e-06,2,-275.304386908106,558.608773816213,569.10866506935,1319.78085171223,99,102
"72",0.372988257178839,0.360321353283462,3.3203896645231,29.4458898764495,9.22881385767367e-11,2,-265.617608043337,539.235216086674,549.735107339811,1091.47376490291,99,102
