"group","scale","predictor","year","AIC_linear","BIC_linear","sig_linear","AIC_quad","BIC_quad","sig_quad","delta_AIC","delta_BIC","model_decision"
"phyto","beta","tmean","mean",374.73,382.6,"ns",375.09,385.59,"ns",-0.36,-2.99,"none"
"phyto","beta","tsd","2016",496.75,504.62,"ns",498.71,509.21,"ns",-1.96,-4.59,"none"
"phyto","beta","tsd","2017",506.55,514.42,"*",499.51,510.01,"**",7.04,4.41,"quadratic"
"phyto","beta","tsd","2018",510.99,518.86,"ns",512.81,523.31,"ns",-1.82,-4.44,"none"
"phyto","beta","tsd","mean",373.26,381.13,"ns",372.24,382.74,"ns",1.02,-1.61,"none"
"phyto","gamma","tmean","2016",846.34,854.21,"***",825.92,836.42,"***",20.42,17.79,"quadratic"
"phyto","gamma","tmean","2017",952.01,959.89,"ns",927.8,938.3,"***",24.21,21.59,"quadratic"
"phyto","gamma","tmean","2018",945.75,953.62,"ns",944.28,954.78,"ns",1.47,-1.15,"none"
"phyto","gamma","tmean","mean",905.77,913.64,"*",891.12,901.62,"***",14.65,12.02,"quadratic"
"phyto","gamma","tsd","2016",778.83,786.7,"***",780.3,790.8,"***",-1.47,-4.1,"linear"
"phyto","gamma","tsd","2017",943.91,951.78,"**",919.27,929.77,"***",24.64,22.01,"quadratic"
"phyto","gamma","tsd","2018",898.58,906.46,"***",900.1,910.6,"***",-1.52,-4.14,"linear"
"phyto","gamma","tsd","mean",852.41,860.28,"***",853.28,863.78,"***",-0.87,-3.5,"linear"
"wc","alpha","tmean","2016",955.9,963.78,"**",957.13,967.63,"**",-1.23,-3.85,"linear"
"wc","alpha","tmean","2017",1043.64,1051.52,"ns",1044.08,1054.58,"ns",-0.44,-3.06,"none"
"wc","alpha","tmean","2018",1030.41,1038.28,"ns",1032.37,1042.87,"ns",-1.96,-4.58,"none"
"wc","alpha","tmean","mean",939.03,946.91,"ns",937.08,947.58,"ns",1.95,-0.68,"none"
"wc","alpha","tsd","2016",958.56,966.43,"**",956.67,967.17,"**",1.89,-0.74,"tie"
"wc","alpha","tsd","2017",1024.16,1032.03,"***",1024.93,1035.43,"***",-0.77,-3.4,"linear"
"wc","alpha","tsd","2018",1031.1,1038.97,"ns",1031.99,1042.49,"ns",-0.89,-3.52,"none"
"wc","alpha","tsd","mean",914.78,922.66,"***",916.13,926.63,"***",-1.35,-3.98,"linear"
